country_code,name,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
508000,Mozambique,5958982,6508400,7184870,8039217.000000001,9022747,10165216,11630194,12764385,12987291.999999998,15483277,17711925.000000004,20493926.999999996,23531567.000000004,27042001.000000004,31255434.999999996
638000,Reunion,248114.00000000003,291662.9999999999,335694,390773,462029.00000000006,484784.99999999994,509263.99999999994,558704.0000000002,610584.0000000001,673543.0000000001,736714,791598,830507.0000000001,863358.9999999999,895308
646000,Rwanda,2186183,2527292.9999999995,2935574.9999999995,3235536,3757350.9999999995,4364709.000000001,5153314,6146884.000000002,7288882.999999999,5836489.999999999,7933687.999999998,8840220.000000002,10039338.000000002,11369065.999999998,12952208.999999998
690000,Seychelles,36325,38962.99999999999,41611.00000000001,46787.00000000002,52370.99999999999,59584.00000000001,66237.00000000001,69771.99999999999,70571.99999999999,76653,80998,88652.00000000001,91273,94981.00000000003,98340
706000,Somalia,2264076,2491543,2755966.9999999995,3068465.0000000005,3444568.9999999995,3880284.9999999995,6281137.999999999,6648628.000000001,7225089.000000002,7491647,8872250.000000002,10446856,12043885.999999998,13797204.000000002,15893219
728000,South Sudan,2482305.9999999995,2619718,2842718,3133154.9999999995,3494010.9999999995,3941612.9999999995,4502603,5220748,5492620.000000001,5118084.000000001,6199396.000000001,7535931.000000001,9508372.000000004,10715657,11193729
800000,Uganda,5158190.999999999,5888790.999999999,6767091.999999999,7986062,9405606.000000004,10737403.000000002,12442333.000000002,14559357.000000004,17354395.000000004,20413157.000000004,23650159,27684590,32428164.000000004,38225447,45741000
834000,United Republic of Tanzania,7649764.999999999,8729667,10052151,11634837.000000002,13535487.000000002,15885228.000000004,18538263.000000007,21633799.000000007,25203848.000000004,29649128.00000001,33499177.000000004,38450323.00000001,44346531.99999999,51482638.00000001,59734213
894000,Zambia,2310436.0000000005,2644976,3070780,3570466.0000000005,4179061.999999999,4943278.999999999,5851818.000000001,6923148,8036848.999999999,9096608,10415941.999999996,11856243.999999998,13605986,15879369.999999998,18383956.000000007
716000,Zimbabwe,2746851.999999999,3213288.9999999995,3776679,4471178,5289312,6293875.000000002,7408629.999999999,8877489.000000002,10432409,11410721.000000002,11881482.000000004,12076697,12697728.000000002,13814642.000000004,14862927.000000004
911000,Middle Africa,26453755,29098322.999999993,32222194.000000004,35893208,40170678.99999999,45948711,52885376,60890047.99999999,70855116.00000001,83775178.99999999,96115549,112008239.99999997,131622131,154203227,179595124.99999994
24000,Angola,4548020.999999999,5043251,5454937.999999999,5770573,5890359.999999999,7023993.999999999,8341290.000000001,9961993.000000002,11848385,13945204.999999994,16395476.999999998,19433604.000000004,23356247,27884380.000000004,32866267.99999999
120000,Cameroon,4307021.000000001,4707000,5176920,5773538,6519753.999999999,7451057.000000001,8621409,10070806,11780086,13599984.000000004,15513944.000000004,17733408.000000007,20341236.000000004,23298375.999999996,26545863.999999996
140000,Central African Republic,1326659.9999999998,1401337,1501668.0000000005,1639705.9999999998,1811156.9999999998,1958366.9999999998,2199359.000000001,2542169.9999999995,2806740,3222662.0000000005,3640421.0000000005,4038379.999999999,4386765,4493171,4829764
148000,Chad,2502321.0000000005,2735205,3001604.0000000005,3309583.0000000005,3643608,4088568,4514427.000000002,5095400,5963250,7010159,8355654.000000002,10096630.000000002,11952133.999999998,14110971.000000004,16425859
178000,Congo,827246.0000000001,911032.9999999999,1018253.9999999999,1155389,1326894.0000000002,1536658.0000000005,1777932,2054308.0000000005,2356739.9999999995,2707532,3127419.9999999995,3622774.9999999986,4273737.999999999,4856092.999999999,5518091.999999999
180000,Dem. Republic of the Congo,12183662,13517516,15248256,17369881.999999996,20011033.000000004,22903587,26358905,29881222,34612023,41576239,47105830,54785894,64563853,76244532,89561404.00000001
226000,Equatorial Guinea,225530,239866,255337.99999999997,276296,303986,255808,249930.99999999997,352116.00000000006,419188.0000000001,496768,606180.0000000001,749527,943640.0000000001,1168574.9999999998,1402985.0000000002
266000,Gabon,473296.00000000006,484308,500922,533357,589317,647538,726335,827106.9999999998,949492.9999999999,1084950.9999999998,1228359,1390550.0000000002,1624146.0000000002,1947690,2225728
678000,Sao Tome and Principe,59998.00000000002,58806.99999999999,64293.999999999985,64884,74570.00000000001,83134,95788,104926,119211.00000000001,131678.99999999997,142264,157472,180371.99999999997,199439.00000000003,219161.00000000003
913000,Southern Africa,15533036,17307489.999999996,19410549.000000004,21957654.000000004,24975152,28545009,32440464.000000004,37171819,42046342.00000001,47358234.00000001,51443866,54644678,58383365.99999999,62985035,67503646.99999999
72000,Botswana,412541.00000000006,463353.00000000006,502732.99999999994,559995.9999999999,627714.0000000001,741345.9999999998,897859.9999999999,1069585.0000000002,1286755.9999999998,1469173,1643333,1799076.9999999998,1987105.9999999998,2120716,2351625
748000,Eswatini,272996.99999999994,303027,336578,373925,431251.0000000001,499758.99999999994,587852.0000000001,699077,822423,926836,1005432,1030575,1064841,1104038,1160163.9999999998
426000,Lesotho,704685.9999999999,766762.9999999999,837263.9999999999,922307.0000000001,1028930.0000000001,1160794.9999999998,1340258.0000000002,1526132,1703756.9999999995,1898598,2032804.9999999995,1996115.0000000002,1995574.9999999998,2059011,2142252.0000000005
516000,Namibia,514377.99999999994,567846,634137.9999999999,716588.0000000001,817473.9999999999,947925,1057723.0000000002,1198149,1432899,1627865.9999999998,1794583,1938315.9999999998,2118876.9999999995,2314901,2540916
710000,South Africa,13628434.000000002,15206500.999999998,17099836.000000004,19384838,22069783,25195184,28556771.000000007,32678876.000000004,36800507,41435761,44967713,47880595.00000001,51216967,55386369.00000001,59308690
914000,Western Africa,70875174,77108323,84947076.00000001,94607330.99999997,106080024,120241779.00000001,137799460.99999994,157891463.99999997,180535022,205691815,234748620,267894672.00000003,307040410,351717644,401861255
204000,Benin,2255222,2303592.0000000005,2431617,2632361,2912338,3265167,3717160.9999999995,4278502,4978489,5905552.000000001,6865946,7982223,9199254,10575962.000000002,12123198.000000004
854000,Burkina Faso,4284454.999999999,4517155.000000001,4829289.000000001,5174874.000000001,5624592.000000001,6154554,6822837.000000001,7727907.999999999,8811033,10089880.000000002,11607951.000000002,13421935.000000002,15605210.999999996,18110616.000000004,20903278
132000,Cabo Verde,178063.99999999997,197193,201769.99999999997,230421.00000000003,268633.00000000006,270240,283847.99999999994,311667.9999999999,337953,386288,428178,463034,492644,524740,555988
384000,Cote d'Ivoire,2630130.9999999995,3004420.9999999995,3503558.999999999,4226842.999999999,5102070.000000002,6412409,8033652.000000002,9918204.000000002,11924873.000000002,14199759.000000002,16454659.999999996,18354513,20532943.999999996,23226148,26378275
270000,Gambia,304895,329661.99999999994,365049,405258.00000000006,464404,539985,637252,755790.9999999999,955594.9999999998,1128577,1317708,1543745,1793199,2085859.9999999998,2416663.9999999995
288000,Ghana,5036151,5730592.000000001,6635228.999999999,7739463,8735493,9985946,11056112,12783617.000000002,14773273.999999998,17014058,19278850.000000007,21814648,24779614,27849203,31072945
324000,Guinea,3012938,3229642.999999999,3494164.0000000005,3801710.9999999995,4154606,4491248,4871446,5470715.999999998,6352281.999999999,7269630.999999997,8240735.000000001,9109585,10192168.000000002,11432095.999999998,13132791.999999998
624000,Guinea-Bissau,535438.0000000001,576131,616140,649795.0000000001,704937,765984.9999999999,781678,872162.9999999999,975265.0000000001,1088850,1201305.0000000002,1344931,1522603,1737207,1967998.0000000005
430000,Liberia,930021.9999999999,1011366.9999999999,1118655.0000000002,1245103.9999999998,1400730,1600454.0000000002,1852991,2145756.0000000005,2075917.0000000005,2044657,2848447,3218113.9999999995,3891357,4472228.999999999,5057677
466000,Mali,4708425.000000001,4975400.000000001,5263727.000000001,5568495,5949042,6482282,7090124,7831887.999999998,8449914.999999998,9585660,10946448,12775508.999999998,15049351.999999998,17438772.000000004,20250834
478000,Mauritania,651434,738295.0000000001,850377,985906.9999999999,1146776.0000000002,1330594,1540643.9999999998,1780033,2034346.9999999998,2313630,2630216.9999999995,3024197.9999999995,3494200,4046304,4649660
562000,Niger,2559706.0000000005,2955536,3388773.9999999995,3914117.9999999995,4510645,5184940,5989000,6915993.999999999,8026592.000000001,9490289,11331561,13624474,16464025.000000002,20001663,24206636
566000,Nigeria,37859750,41086100.00000001,45138460.00000001,50127920.00000001,55982141.99999999,63374289.00000001,73423646.00000001,83562776,95212454.00000003,107948339,122283853,138865014.00000003,158503203.00000003,181137454,206139587
686000,Senegal,2486642,2808238.9999999995,3206756.9999999995,3682879.000000001,4257508.000000001,4929846.000000001,5583156.999999999,6471328.999999999,7526305.999999999,8690154.999999998,9797731,11090123,12678143,14578449.999999998,16743930
694000,Sierra Leone,2041200.9999999995,2165816,2317638,2508226.0000000005,2744890.0000000014,3037157.9999999995,3388494.0000000005,3805303.999999999,4319762.999999999,4303953.000000001,4584570,5645629.000000001,6415636,7171909,7976984.999999999
768000,Togo,1395451,1473834.9999999998,1580507.9999999995,1708630.9999999998,2115522,2410451.0000000005,2720835,3252997.0000000005,3774310,4226293,4924406.000000001,5611643,6421673.999999999,7323161.999999998,8278737.000000001
912000,Northern Africa,48787607,55259405.00000001,63223193,72316376.00000001,82539482.00000001,93474139.00000003,106772556,122785315.99999999,139744833.00000006,156510640,171322846,186421282,202940273,223861601.99999994,246232507.99999997
12000,Algeria,8872249.999999996,9774280.000000002,11057864,12550880.000000002,14464991.999999998,16607705.999999998,19221659,22431506.999999996,25758872,28757787.999999996,31042237.999999996,33149720,35977451,39728020.00000001,43851043.00000001
818000,Egypt,20451988,23223125,26632890.999999996,30433023.999999996,34513850.999999985,38549133,43309063.00000001,49258726,56134478,62334024.99999999,68831561,75523576.00000003,82761244,92442549.00000003,102334402.99999999
434000,Libya,1124518.9999999998,1245355,1448415.9999999998,1733307,2133527,2645136.0000000005,3219462.0000000005,3873781,4436663.000000001,4948796,5357893,5798615.000000002,6197666.999999999,6418315.000000001,6871287
504000,Morocco,8985985.999999998,10502658.000000002,12328532,14230163,16004732,17796171.000000004,19990005.999999993,22499111.000000004,24807460.999999996,26994254.999999996,28793672.000000007,30455563.000000004,32343384,34663607.99999999,36910557.99999999
729000,Sudan,5733789.000000001,6549294,7544498.000000002,8770094.000000002,10281695,12144127.999999998,14507466,17210182.000000004,20147592,24094741,27275019,30949514.000000004,34545013.99999999,38902948.00000001,43849269
788000,Tunisia,3605311.9999999995,3943544.0000000005,4178234.9999999995,4547941,5063805,5656912,6374040,7329589.999999999,8242509.000000002,9125400.000000002,9708347.000000002,10106777.999999998,10635245.000000002,11179951,11818618.000000002
732000,Western Sahara,13762.999999999998,21148.999999999993,32757.000000000004,50967.00000000001,76880,74953,150860,182418.99999999997,217258.00000000003,255635,314116,437515.99999999994,480268,526211,597330
922000,Western Asia,51451533.00000001,58165932,66078486.00000001,75505357,86190693,98877310,113451836.00000001,130683878.00000001,148315610,166667476.99999994,184558822,205564261,232426517,257658413.00000003,279636774
51000,Armenia,1353502,1563512.0000000002,1874119.0000000002,2211316,2525067.000000001,2832751.9999999995,3099759,3335935,3538164,3217349,3069597.0000000005,2981261.9999999995,2877314,2925558.9999999995,2963234.0000000005
31000,Azerbaijan,2927925.9999999995,3329373.0000000005,3895397.9999999995,4592601.000000001,5180032.000000001,5674129.000000001,6150734.999999999,6666447,7242758.000000001,7775418,8122742.999999999,8538610.000000004,9032465,9622740.999999998,10139175
48000,Bahrain,115612.00000000001,133579.99999999997,162428.99999999997,187432.00000000003,212606.99999999997,266539.99999999994,359896.99999999994,419428,495927,563698,664609.9999999999,889156.9999999999,1240864,1371852.9999999998,1701583.0000000002
196000,Cyprus,494017.99999999994,529970,572933,580972,613617.9999999999,649752.9999999999,685407.9999999999,703694.0000000002,766616,855391.0000000001,943288.0000000001,1027657.0000000001,1112617.0000000002,1160986.9999999998,1207360.9999999998
268000,Georgia,3527008.0000000005,3713129,4007723.9999999995,4371526.999999999,4713339.999999999,4873638.000000001,5017826.999999999,5211454,5410400.000000001,4976252,4362184.000000001,4210157.999999999,4099096.0000000005,4024180,3989175
368000,Iraq,5719182.999999999,6502661.000000001,7289753.000000001,8375795,9917978,11684578.999999998,13653348.000000002,15555806.999999996,17419112.999999996,20149342.000000004,23497589,26922278.999999996,29741977.000000007,35572269.00000001,40222503.00000001
376000,Israel,1257967.9999999998,1691873,2060475.9999999998,2490322,2813745.9999999995,3296930.9999999995,3700915.9999999995,4035062,4448348.000000001,5271368,5945948.999999999,6529469.999999999,7346446,7978496,8655541
400000,Jordan,481319.00000000006,682975,933101.9999999999,1173603,1721315,2065916.0000000002,2377996.9999999995,2900054.9999999995,3565888.0000000005,4588842.000000001,5122495.000000001,5765639.000000001,7261541,9266573,10203140.000000002
414000,Kuwait,153102.99999999997,181893.00000000003,269026,472032.00000000006,744444,1021724.9999999999,1368679.9999999998,1735278.0000000002,2095350.0000000005,1605907,2045122.9999999995,2270196,2991884,3835587.9999999995,4270562.999999999
422000,Lebanon,1334617,1532120,1804935,2092373.9999999998,2297435.9999999995,2575746,2588927.999999999,2651992,2803032,3528379,3842774,4698760.999999999,4953064,6532681.000000001,6825442.000000001
512000,Oman,456409.99999999994,495825.00000000006,551734.9999999999,625005.9999999999,723841.9999999999,882038,1154373,1498413.0000000002,1812158.0000000002,2204267.0000000005,2267973,2511254,3041435.0000000005,4267340.999999999,5106622.000000001
634000,Qatar,25005.999999999996,35862.999999999985,47382.99999999999,73631,109520.99999999999,164314,223622,370886.00000000006,476274.9999999999,513446.9999999999,592467,865409.9999999999,1856329,2565707.9999999995,2881060
682000,Saudi Arabia,3121340,3558165.0000000005,4086533.9999999995,4843632,5836387.999999999,7419486,9691470.999999998,13118998,16233786,18638790,20663840.000000004,23816175,27421467.999999993,31717675.999999996,34813867
275000,State of Palestine,931924.9999999999,987751,1069318.0000000002,1191381,1126628.0000000002,1323805,1510717,1759533,2101444.9999999995,2618671,3224009,3577956.0000000005,4055631.9999999995,4529160.000000001,5101415.999999999
760000,Syrian Arab Republic,3413325,3911497.0000000005,4573513.999999999,5373137,6350544,7535715,8930775.999999998,10648633.000000002,12446167.999999998,14345491.000000002,16410847.000000002,18361178,21362541.000000004,17997411,17500657
792000,Turkey,21408398,24270599.000000004,27472339.000000007,30972996,34876295.999999985,39277249.000000015,43975972,49133928,53921758,58486452.99999999,63240196,67903461.00000001,72326992,78529413,84339066.99999999
784000,United Arab Emirates,69594.00000000001,79579.00000000001,92417,149855,234512.00000000006,548295,1019507.0000000001,1366165,1828437.0000000002,2415099,3134067,4588222.000000002,8549998.000000002,9262895.999999998,9890400
887000,Yemen,4661279,4965566.999999999,5315351,5727745,6193379.000000001,6784699.000000001,7941902.999999999,9572170,11709987,14913313.000000002,17409071.000000004,20107416,23154854.000000004,26497881,29825968.000000004
5500000,Central Asia,17449568,20272976.000000004,24321261,28908815.00000001,33211581,37115084.99999999,41088161,45501797.999999985,50122902,53169133,55345848.00000001,58449898,62805087,68479993.99999999,74338926
398000,Kazakhstan,6703000,7932517.000000002,9934564,11841926,13036140,14050226.999999998,14796175.000000004,15665594,16383880.999999998,15839357,14922724.000000002,15402803.000000002,16252273.000000002,17572010.000000004,18776707.000000004
417000,Kyrgyzstan,1740005,1904069.0000000005,2170091,2569448.0000000005,2969857,3291073.9999999995,3610974,3993076.9999999995,4372885,4566096,4920712,5075340,5422297.999999999,5959126,6524191.000000001
762000,Tajikistan,1531507,1794415.9999999998,2087053.0000000002,2487974.9999999995,2930107.999999999,3390941,3905443,4537819.999999999,5283811,5764806.000000001,6216329.000000002,6789318,7527397,8454019.000000004,9537642
795000,Turkmenistan,1210998,1364637.9999999998,1603254,1892596,2195165,2525374.0000000005,2876809,3244024,3683978,4207841,4516128.000000001,4754652,5087211,5565283,6031187.000000002
860000,Uzbekistan,6264058.000000001,7277335.999999999,8526299,10116869.999999998,12080310.999999998,13857469,15898760,18061282.999999996,20398347.000000004,22791032.999999996,24769955,26427784.999999996,28515908.000000004,30929555.999999996,33469199
5501000,Southern Asia,493338552,538392590.0000001,594746439.0000001,662778040.0000001,742225229.9999999,833065342,939270826.9999999,1060289499.0000001,1189861406,1323030437.9999995,1456569461.9999998,1588623891,1712555446,1827847298.9999998,1940369605.0000002
4000,Afghanistan,7752117.000000002,8270992.000000002,8996967,9956318,11173654.000000002,12689164.000000002,13356500,11938204.000000002,12412310.999999998,18110662.000000004,20779956.999999996,25654274,29185511,34413603,38928341
50000,Bangladesh,37894671,42086305,48013505.00000001,55385113.999999985,64232486.00000001,70066310,79639497.99999999,90764179.99999999,103171957,115169932.99999997,127657862.00000003,139035505,147575433,156256287,164689383
64000,Bhutan,176795.99999999997,197458.00000000003,223284.00000000003,253993.00000000006,297307,348395,406882.99999999994,464264,530801,534628.9999999999,591014.0000000001,648743.9999999999,685502,727885,771612.0000000001
356000,India,376325199.99999994,409880606,450547675,499123328,555189797,623102900,698952837,784360011.9999999,873277799.0000001,963922586.0000001,1056575548,1147609924,1234281163.0000005,1310152392,1380004385
364000,Iran (Islamic Republic of),17119261.999999996,19294136,21906909,24954864.999999996,28513872,32729772,38650244.00000001,47347197,56366211.999999985,61442657.99999999,65623397,69762345,73762519,78492208,83992953
462000,Maldives,73716.00000000001,79704.00000000001,89873.00000000001,102710.00000000001,115688.00000000001,136418,158271,189540.00000000003,223159,254144,279395.99999999994,319604.00000000006,365730,454914,540541.9999999999
524000,Nepal,8483322,9316916.000000002,10105059.999999998,10972912,12074628,13420366.999999998,15016408,16858315.000000004,18905480.000000004,21576074,23941099,25744500,27013206.999999996,27015033.000000004,29136807.999999996
586000,Pakistan,37542369.99999999,40488031.99999999,44988690,50917974.99999999,58142061.99999999,66816875.000000015,78054346.00000001,92191505,107647918,123776834.99999999,142343583.00000003,160304006.99999997,179424642.99999997,199426953,220892331
144000,Sri Lanka,7971098,8778441,9874475.999999998,11110825,12485736,13755141,15035839.999999998,16176282.000000004,17325768.999999996,18242916.999999993,18777606.000000004,19544988,20261738,20908023.999999996,21413250
906000,Eastern Asia,677535239,745568562.0000001,805880879.9999999,881787776.9999999,999435111,1112702814.0000002,1198125828.9999998,1283950281.9999998,1393334810,1464564639.0000005,1519781295.0000005,1564192321,1604859428,1645183917.0000005,1678089626.9999998
156000,China,554419268.9999999,612241551.9999998,660408053.9999999,724218970,827601385,926240889,1000089227.9999999,1075589363,1176883681.0000002,1240920539,1290550767,1330776380.0000002,1368810604,1406847867.9999998,1439323773.9999998
344000,"China, Hong Kong SAR",1974002,2472665,3046048.0000000005,3467219.9999999995,3848922.0000000005,4208963,4868744,5287022.999999999,5727941.999999999,6084233.999999999,6606327.999999999,6769579,6966324.000000001,7185992,7496987.999999999
446000,"China, Macao SAR",196473.00000000006,189458.00000000003,167795.00000000003,203224,246192.99999999997,241631,238084.99999999997,283490.00000000006,343815.99999999994,385517.00000000006,427772.00000000006,482863,538215,602093.0000000001,649342.0000000001
158000,"China, Taiwan Province of China",7602355,9189971.999999998,10876146.999999998,12901153.999999998,14924462.000000004,16464929.000000004,17905459.000000004,19303402,20478515.999999996,21356025,21966528,22705719.000000004,23187556.000000004,23557473,23816775
